Problem,Objective Function,Solution Time,Best Bound
D1.S1.T1_1,19828,0.11,19828.0000
D1.S1.T1_10,20153,0.09,
D1.S1.T1_2,22073,0.16,22073.0000
D1.S1.T1_3,18406,0.11,18406.0000
D1.S1.T1_4,17624,0.22,17624.0000
D1.S1.T1_5,17591,0.14,
D1.S1.T1_6,17744,0.13,
D1.S1.T1_7,19734,0.17,19734.0000
D1.S1.T1_8,14944,0.19,14944.0000
D1.S1.T1_9,10879,0.19,
D1.S1.T2_1,22859,0.14,22859.0000
D1.S1.T2_10,22935,950.28,23459.0000
D1.S1.T2_2,21159,83.00,21334.0000
D1.S1.T2_3,24273,3.61,24273.0000
D1.S1.T2_4,29195,1.09,30249.0000
D1.S1.T2_5,19362,0.19,
D1.S1.T2_6,28879,0.16,
D1.S1.T2_7,22702,59.61,26596.0000
D1.S1.T2_8,16207,261.80,17030.0000
D1.S1.T2_9,17908,1200.02,18599.0000
D1.S2.T1_1,39730,3.61,39730.0000
D1.S2.T1_10,29773,1.67,29773.0000
D1.S2.T1_2,29404,2.72,29404.0000
D1.S2.T1_3,41115,1.94,
D1.S2.T1_4,23445,1.20,23445.0000
D1.S2.T1_5,34875,1.13,34875.0000
D1.S2.T1_6,33250,1.47,33250.0000
D1.S2.T1_7,23736,1.89,23736.0000
D1.S2.T1_8,24971,1.33,24971.0000
D1.S2.T1_9,32456,3.14,32456.0000
D1.S2.T2_1,51561,402.78,51561.0000
D1.S2.T2_10,40856,1106.73,40856.0000
D1.S2.T2_2,51158,1200.50,54065.0000
D1.S2.T2_3,52170,392.84,52170.0000
D1.S2.T2_4,49541,15.39,49541.0000
D1.S2.T2_5,53814,281.88,53814.0000
D1.S2.T2_6,47419,7.83,47419.0000
D1.S2.T2_7,40533,2.81,
D1.S2.T2_8,53423,1.94,
D1.S2.T2_9,44376,16.83,44376.0000
D1.S3.T1_1,81107,628.38,81107.0000
D1.S3.T1_10,59773,599.55,59773.0000
D1.S3.T1_2,68783,591.52,68783.0000
D1.S3.T1_3,19944,1200.74,62470.0000
D1.S3.T1_4,70884,720.63,70884.0000
D1.S3.T1_5,25325,1200.73,57458.0000
D1.S3.T1_6,73480,137.44,73480.0000
D1.S3.T1_7,74843,150.63,
D1.S3.T1_8,72379,601.49,72379.0000
D1.S3.T1_9,25644,1200.75,70429.0000
D1.S3.T2_1,0,1200.52,
D1.S3.T2_10,3649,1200.55,
D1.S3.T2_2,4022,1200.59,
D1.S3.T2_3,1420,1200.58,
D1.S3.T2_4,3752,1200.58,
D1.S3.T2_5,0,1200.44,
D1.S3.T2_6,2365,1200.63,
D1.S3.T2_7,0,1200.34,
D1.S3.T2_8,0,1200.53,
D1.S3.T2_9,3911,1200.48,
D2.S1.T1_1,16718,0.16,
D2.S1.T1_10,19821,0.17,
D2.S1.T1_2,20138,0.13,
D2.S1.T1_3,26688,0.45,
D2.S1.T1_4,17647,0.23,
D2.S1.T1_5,14626,0.30,
D2.S1.T1_6,21878,0.13,21878.0000
D2.S1.T1_7,20611,0.16,20611.0000
D2.S1.T1_8,14683,0.70,
D2.S1.T1_9,12102,10.55,16342.0000
D2.S1.T2_1,13248,0.14,18910.0000
D2.S1.T2_10,15348,1.86,26708.0000
D2.S1.T2_2,21984,1200.02,22881.0000
D2.S1.T2_3,16292,0.47,17051.0000
D2.S1.T2_4,16588,10.81,16954.0000
D2.S1.T2_5,3152,0.39,
D2.S1.T2_6,14183,6.34,15361.0000
D2.S1.T2_7,24411,391.17,25048.6712
D2.S1.T2_8,14857,0.09,
D2.S1.T2_9,10881,0.41,17828.0000
D2.S2.T1_1,35596,29.88,35596.0000
D2.S2.T1_10,38883,498.56,38883.0000
D2.S2.T1_2,31813,1.42,31813.0000
D2.S2.T1_3,32621,2.19,32621.0000
D2.S2.T1_4,41029,5.53,
D2.S2.T1_5,35187,1.17,35187.0000
