Problem,Objective.Function_1,Objective.Function_2,Objective.Function_3,Objective.Function_4,Objective.Function_5,Objective.Function_6,Objective.Function_7,Objective.Function_8,Objective.Function_9,Objective.Function_10,Elapsed.Time_1,Elapsed.Time_2,Elapsed.Time_3,Elapsed.Time_4,Elapsed.Time_5,Elapsed.Time_6,Elapsed.Time_7,Elapsed.Time_8,Elapsed.Time_9,Elapsed.Time_10
D1.S1.T1_1,19828,19828,19828,19828,19828,19828,19828,19828,19828,19828,3.357511043548584,2.0749168395996094,1.7477519512176514,1.6089420318603516,1.6250338554382324,1.6250510215759277,1.5781910419464111,1.6091938018798828,1.5935230255126953,1.5778958797454834
D1.S1.T1_10,20153,20153,20153,20153,20153,20153,20153,20153,20153,20153,1.6625990867614746,1.5556061267852783,1.5400638580322266,1.6568360328674316,1.7410318851470947,1.640981912612915,1.5245959758758545,1.524125099182129,1.5020630359649658,1.5718631744384766
D1.S1.T1_2,22073,22073,22073,22073,22073,22073,22073,22073,22073,22073,1.6094181537628174,1.6317479610443115,1.6094448566436768,1.6091859340667725,1.6092231273651123,1.5782818794250488,1.5779240131378174,1.6564040184020996,1.678562879562378,1.5935471057891846
D1.S1.T1_3,18406,18406,18406,18406,18406,18406,18406,18406,18406,18406,1.6623380184173584,1.5931050777435303,1.540069818496704,1.7637159824371338,1.8417420387268066,1.6093969345092773,1.5623500347137451,1.6780009269714355,1.7414228916168213,1.7411727905273438
D1.S1.T1_4,17624,17624,17624,17624,17624,17624,17624,17624,17624,17624,1.7415759563446045,1.578291893005371,1.4924359321594238,1.48667311668396,1.5240979194641113,1.4554240703582764,1.4612867832183838,1.4868102073669434,1.4244029521942139,1.4707379341125488
D1.S1.T1_5,17591,17591,17591,17591,17591,17591,17591,17591,17591,17591,1.5089871883392334,1.4616940021514893,1.5088319778442383,1.5557310581207275,1.4869050979614258,1.530639886856079,1.4712400436401367,1.5089809894561768,1.4774479866027832,1.5088489055633545
D1.S1.T1_6,17744,17744,17744,17744,17744,17744,17744,17744,17744,17744,1.5086979866027832,1.5088410377502441,1.4775900840759277,1.4552850723266602,1.477342128753662,1.429960012435913,1.4547460079193115,1.4773130416870117,1.4392588138580322,1.4773640632629395
D1.S1.T1_7,19734,19734,19734,19734,19734,19734,19734,19734,19734,19734,1.5241029262542725,1.4929530620574951,1.5085480213165283,1.5308899879455566,1.65677809715271,1.7626698017120361,1.6563210487365723,1.5933570861816406,1.5241739749908447,1.5086631774902344
D1.S1.T1_8,14944,14944,14944,14944,14944,14944,14944,14944,14944,14944,1.4773399829864502,1.5089750289916992,1.4929869174957275,1.5245730876922607,1.5304830074310303,1.4392549991607666,1.5241239070892334,1.4929630756378174,1.5085780620574951,1.4932060241699219
D1.S1.T1_9,10879,10879,10879,10879,10879,10879,10879,10879,10879,10879,1.4773821830749512,1.4769768714904785,1.47110915184021,1.4620919227600098,1.470533847808838,1.4617071151733398,1.4779548645019531,1.4768211841583252,1.4710378646850586,1.4929099082946777
D1.S1.T2_1,22859,22859,22859,22859,22859,22859,22859,22859,22859,22859,4.193631887435913,4.045079946517944,4.039129018783569,3.9224839210510254,3.218787908554077,4.007828950881958,4.02096700668335,4.000964879989624,4.07887601852417,4.001179933547974
D1.S1.T2_10,22181,22181,22181,21657,22087,22181,22181,22181,21764,22181,7.684957027435303,7.839713096618652,7.846975803375244,9.461214065551758,8.055434942245483,7.980111122131348,7.679979085922241,8.306321144104004,8.935247898101807,7.723845958709717
D1.S1.T2_2,20332,20332,20507,20507,18565,20332,20332,20507,20507,20332,10.799320936203003,10.505347967147827,8.719012975692749,5.689097881317139,7.786877870559692,9.533569097518921,9.56075382232666,7.373503923416138,7.267051935195923,10.49416208267212
D1.S1.T2_3,24273,24273,24273,24273,24273,24273,24273,24273,24273,24273,11.373214960098267,10.620054960250854,10.02286696434021,9.610059022903442,10.40559196472168,9.64479398727417,9.065231084823608,9.781785011291504,9.155972003936768,10.446151971817017
D1.S1.T2_4,29195,29195,28142,29195,29195,29195,29195,29195,29195,29195,6.828039884567261,5.9123711585998535,6.726333856582642,7.182989835739136,6.651630163192749,6.935139179229736,6.819401979446411,7.544174909591675,6.739484071731567,6.61565899848938
D1.S1.T2_5,19362,19362,19362,19362,19362,19362,19362,19362,19362,19362,4.768789052963257,5.239983081817627,5.89864706993103,4.5290820598602295,5.3527209758758545,5.412102937698364,4.27444314956665,5.7115700244903564,5.491051197052002,4.420345783233643
D1.S1.T2_6,28080,28080,28080,28080,28080,28080,28080,28080,28080,28080,7.138023853302002,6.928475856781006,6.631541013717651,5.938781023025513,6.5469300746917725,6.5011820793151855,6.437541961669922,6.445746183395386,6.468559980392456,6.539196014404297
D1.S1.T2_7,21463,20647,22702,20904,20904,20569,22702,20647,20647,20647,10.14120101928711,11.32009506225586,10.968240022659302,11.967824935913086,12.235421895980835,11.448978900909424,10.681138038635254,10.381808042526245,10.88912296295166,10.973344087600708
D1.S1.T2_8,16059,16059,16059,16059,16059,16059,16059,16059,16059,16059,12.949808120727539,12.922558069229126,13.019812822341919,12.913848161697388,12.895368814468384,12.94840407371521,12.929188013076782,13.081079959869385,13.502113103866577,12.93529987335205
D1.S1.T2_9,17908,17908,17908,17908,17908,17908,17908,17908,17908,17908,8.875325918197632,8.9774751663208,8.712953090667725,8.886730194091797,9.125072956085205,8.96298098564148,9.766036987304688,9.6163330078125,8.303829193115234,8.903257131576538
D1.S2.T1_1,39730,39730,39730,39730,39730,39730,39730,39730,39730,39730,5.053841829299927,4.978522062301636,4.970340013504028,5.031216859817505,4.960040092468262,4.971520900726318,5.018277168273926,5.065424203872681,5.498552083969116,5.065219879150391
