Problem,Objective.Function_1,Objective.Function_2,Objective.Function_3,Objective.Function_4,Objective.Function_5,Objective.Function_6,Objective.Function_7,Objective.Function_8,Objective.Function_9,Objective.Function_10,Elapsed.Time_1,Elapsed.Time_2,Elapsed.Time_3,Elapsed.Time_4,Elapsed.Time_5,Elapsed.Time_6,Elapsed.Time_7,Elapsed.Time_8,Elapsed.Time_9,Elapsed.Time_10
c1.4_01,540,590,540,560,540,580,570,530,540,580,34.5693891,31.08271408,28.25746608,29.65675092,28.5895102,32.19738698,30.74607301,27.88074899,30.57550693,32.36132288
c1.4_02,600,600,610,600,620,610,590,600,620,610,108.9754469,115.3481178,114.7062261,114.8012481,114.433506,104.0244551,115.5451121,110.0357971,116.4455578,110.2392192
c1.4_03,700,670,650,640,680,670,660,670,660,690,213.3617339,209.7146208,199.7711101,191.2292449,203.286587,199.5286851,201.3850548,214.5091829,195.4563999,210.1943839
c1.4_04,720,700,700,710,680,680,710,690,710,680,289.8905201,296.9192128,295.5892241,289.2624419,287.635886,298.5891171,295.400872,311.0394299,299.9850109,296.8251679
c1.4_05,570,610,610,600,620,610,600,600,610,570,47.43955398,47.56264091,48.12685513,48.00189686,49.37692308,48.01937699,48.68250799,48.19979596,48.83696699,48.33020902
c1.4_06,590,590,560,560,590,610,590,600,610,590,68.98662806,69.43971205,69.87647295,69.57967281,69.72265506,64.14555001,64.23401213,62.40981984,66.68868899,65.3155601
c1.4_07,630,590,610,610,630,600,610,620,610,610,69.78345299,69.18918109,70.58035588,71.67357183,66.51752305,69.91682911,71.77571583,67.4314909,65.66387701,71.4242599
c1.4_08,620,620,610,610,670,640,610,600,630,610,88.47255206,90.18937612,95.97262812,93.1137569,89.78462005,87.4209609,88.122262,85.76973009,89.09362078,86.251966
c1.4_09,680,670,660,680,670,670,680,650,650,650,133.7395971,140.6935229,125.7855151,141.691119,135.8939312,127.878284,133.466671,134.9841578,127.814852,138.0528891
c1.6_01,740,750,720,740,730,760,710,740,720,740,39.47065902,39.68970895,37.62636399,37.84688091,37.78418183,35.83348298,39.28260899,37.50483203,38.2291441,37.42220497
c1.6_02,800,780,800,820,810,810,830,830,810,830,145.2887568,136.4125161,136.2559412,145.2409849,144.427366,146.865032,144.7409511,141.9695551,154.9594231,156.1619489
c1.6_03,830,870,840,850,850,840,840,840,850,840,255.057729,268.72614,269.27442,253.0234761,261.3114409,257.037441,274.8648269,247.4325001,258.5649209,269.7300029
c1.6_04,890,890,900,910,910,900,910,900,890,910,376.589709,370.096602,386.0799899,397.155421,401.261833,382.7633889,380.7038949,359.6577251,385.7686059,362.560092
c1.6_05,810,750,780,780,780,780,760,750,760,760,65.11149502,64.11129999,65.62840986,65.5640409,65.86128283,62.17584705,63.27767491,62.37672281,65.53777003,66.20539308
c1.6_06,760,800,800,750,810,770,770,760,780,760,86.23622394,82.41006994,82.11214709,83.86123991,85.70722103,82.64051104,82.07558417,84.21960616,81.88845491,81.86171293
c1.6_07,800,780,810,770,810,770,760,770,790,810,95.79941702,92.7068789,94.56488514,92.44130301,92.09710598,89.40694594,87.29544687,93.06532598,92.74273896,95.61306214
c1.6_08,810,800,790,800,800,810,810,800,810,830,123.597312,116.3036599,115.8170428,115.6042361,114.5992279,116.5270879,117.767796,114.665077,119.3498311,114.1909039
c1.6_09,860,850,860,840,870,880,860,850,840,840,175.914115,175.959852,174.0385721,170.6795561,166.8352761,164.557389,172.558548,175.75859,164.8696659,179.067225
c2.4_01,1160,1170,1210,1190,1170,1180,1180,1160,1190,1200,92.75289702,95.051162,95.09569502,91.80051708,94.92563105,96.38974786,96.01254511,96.14996409,96.11918902,96.86135101
c2.4_02,1240,1260,1270,1250,1220,1240,1260,1270,1240,1280,311.4932508,426.9180181,437.8430018,323.7618902,312.743536,452.4294221,418.9516869,453.1228521,491.2282419,484.965852
c2.4_03,1310,1310,1310,1280,1290,1320,1330,1330,1310,1280,359.8379562,454.3318241,352.1402161,414.3431351,376.729707,382.676116,551.7640181,325.3434541,335.0281329,368.0313239
c2.4_04,1310,1350,1320,1320,1320,1350,1340,1340,1340,1340,355.3227649,365.5572901,643.601368,580.8591499,357.375242,907.0392089,489.2234249,482.2281878,494.7194021,504.7095771
c2.4_05,1280,1250,1230,1240,1250,1250,1260,1250,1250,1230,171.1001811,174.6482339,168.5834951,171.9287622,175.022172,174.8512831,173.991374,174.871361,162.726645,174.9747291
c2.4_06,1280,1290,1300,1300,1290,1260,1280,1270,1290,1300,229.226733,236.382354,243.3817518,227.725987,238.648267,238.60462,246.690835,240.3328872,247.164676,255.2449319
c2.4_07,1260,1280,1250,1270,1240,1290,1280,1250,1300,1240,287.2015839,292.7468688,276.8230162,282.684536,293.9247909,288.7739041,285.958163,289.904259,313.231498,325.6415062
c2.4_08,1260,1300,1280,1290,1300,1270,1280,1300,1310,1290,305.420042,307.9773629,324.2449281,305.821671,306.2692039,312.7620409,319.317502,298.662957,320.0806119,327.2301209
c2.6_01,1440,1440,1440,1460,1450,1430,1460,1440,1450,1440,99.80159402,99.160671,99.36254406,100.1448421,99.11485195,99.89684796,95.35915399,99.50989509,101.3775671,100.128736
c2.6_02,1540,1520,1520,1540,1550,1530,1510,1530,1540,1520,407.1554601,408.0916641,351.437331,326.9764659,376.1244161,369.6871781,304.9347129,307.6862161,459.4716079,324.3679662
c2.6_03,1570,1590,1560,1570,1550,1540,1590,1550,1580,1560,500.048646,578.319139,332.076124,365.591583,328.0282929,302.484544,354.764205,397.6353209,320.7481241,415.105268
c2.6_04,1560,1570,1580,1560,1560,1560,1580,1580,1580,1590,320.884063,433.2359998,547.514878,388.8439181,333.373836,315.3678069,899.6498282,358.5120189,346.7736008,526.010072
c2.6_05,1460,1470,1520,1470,1490,1490,1500,1470,1510,1470,178.0840781,178.788065,182.489886,181.3333988,184.8021049,172.7661049,158.4592509,173.2686341,173.7589669,172.5538831
c2.6_06,1560,1520,1550,1530,1530,1550,1540,1530,1550,1540,242.1795349,249.6800199,237.9626269,245.6326151,260.680984,234.3681431,246.6624351,242.8858759,236.5780492,256.477865
c2.6_07,1520,1510,1510,1490,1500,1520,1520,1500,1530,1500,280.7826519,276.739171,283.261771,278.262301,273.9795749,276.3601248,277.523174,285.2658179,291.252449,263.1798079
c2.6_08,1560,1540,1550,1550,1530,1520,1560,1530,1510,1530,294.338968,301.200212,298.680846,323.8871641,329.71752,309.9891059,321.053869,327.9328389,299.8454139,313.3523879
r1.4_01,352,352,363,345,357,337,337,343,344,343,9.189371109,8.922003031,8.953594923,8.656369925,8.750280142,9.871232033,9.736008167,9.014045,9.042776108,8.861081839
r1.4_02,432,424,436,458,429,442,430,454,405,434,22.84586906,20.68801498,22.76619792,22.83039403,21.90627003,21.92276096,23.25641203,23.12323499,20.93013406,21.56292295
r1.4_03,462,418,474,439,458,441,454,452,458,490,36.33138704,37.79748487,36.86138296,37.14106703,36.51877093,37.44134808,35.33223104,35.30581093,36.92184401,36.39232302
r1.4_04,469,504,470,469,488,462,473,443,470,483,54.33108091,53.97113085,54.31561804,54.04860806,54.86127496,52.23040295,52.44191098,51.28394604,52.06508803,53.45343494
r1.4_05,373,338,423,383,374,364,432,396,403,412,16.73411798,16.37550306,15.84386683,15.47034097,16.09368706,16.19148111,15.98173904,16.06034708,16.49004388,15.14211202
r1.4_06,471,460,463,473,493,454,490,449,454,451,28.10936904,28.47077394,28.71886516,29.28290892,28.76604509,29.75850892,28.16722608,27.70013094,28.73318505,27.14093399
r1.4_07,442,456,460,464,476,452,469,438,486,476,40.26837802,40.04858088,41.187747,40.40869308,41.16434693,39.44573998,41.83405995,40.835181,42.8643682,37.7360611
r1.4_08,494,472,494,502,504,486,471,438,505,491,55.45511079,54.04881001,58.18981814,57.01871204,54.98606801,53.06147695,54.49031401,52.05453801,53.86958718,55.0174849
r1.4_09,438,458,437,422,432,412,421,462,443,428,25.92343402,26.00025177,26.62693191,26.015625,25.36140418,26.09236097,25.97414494,25.00651407,24.89867616,25.23463392
r1.4_10,449,482,448,465,457,463,424,450,458,446,34.07831502,36.26791,35.20307493,35.26719117,35.796767,34.79911995,33.54235911,34.28629899,34.23793602,33.67385817
r1.4_11,480,459,462,479,473,476,500,460,477,472,37.53381991,35.8308661,36.04789805,36.72151709,37.84641099,34.39296198,35.34031892,34.17264104,35.30651689,33.98562407
r1.4_12,483,426,491,479,490,477,455,524,465,488,44.42272687,43.36165714,45.70663786,44.81473589,43.32877302,44.50580716,44.63207006,46.59074616,46.03923392,43.48674107
r1.6_01,457,490,489,470,445,479,464,454,459,464,11.1411469,10.94036388,11.48460197,10.96928,10.29661107,11.19986391,11.36642313,11.16023588,10.98970699,11.12544608
r1.6_02,533,532,538,574,533,547,554,555,556,528,27.57996702,26.10955596,26.92241192,27.40929604,26.45343518,24.58565617,26.46739006,26.78377295,26.98358607,25.47113514
